generation,steps_per_gen,population_size,fitness_best,fitness_mean,fitness_median,fitness_std,fitness_iqr,food_eaten_total,food_eaten_mean,survival_steps_mean,reproductions_total,params_mean,params_median,params_best,params_std,layers_mean,hidden_mean,mutation_rate,mutation_sigma,crossover_rate,selection_mode,tournament_k,seed,run_id,config_hash,git_commit
0,161,100,160.0,112.49,100.0,17.336374,30.0,63,0.63,112.49,100,76.0,76.0,76,0.0,3.0,1.0,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
1000,338,100,337.0,134.85,130.0,44.699512,51.0,142,1.42,134.85,100,446.67,435.0,435,83.154434,4.02,2.02,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
2000,360,100,359.0,136.5,126.5,44.509212,58.0,157,1.57,136.5,100,442.31,301.0,435,399.00934,3.41,1.41,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
3000,306,100,305.0,153.15,130.0,50.726395,68.0,217,2.17,153.15,100,474.64,435.0,435,180.3583,4.04,2.04,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
4000,391,100,390.0,138.35,130.0,52.77031,60.0,157,1.57,138.35,100,573.99,435.0,435,531.8846,4.06,2.06,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
5000,253,100,252.0,140.87,130.0,37.661037,56.0,170,1.7,140.87,100,424.32,435.0,435,63.078503,3.97,1.97,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
6000,567,100,566.0,155.17,130.5,67.178276,67.0,228,2.28,155.17,100,430.02,435.0,435,102.155014,3.99,1.99,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
7000,311,100,310.0,150.81,148.0,40.804337,31.0,212,2.12,150.81,100,465.43,435.0,435,198.38618,4.03,2.03,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
8000,464,100,463.0,166.19,160.0,63.688572,60.0,278,2.78,166.19,100,521.87,435.0,435,395.4688,4.05,2.05,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
9000,461,100,460.0,149.68,133.5,49.639065,74.0,203,2.03,149.68,100,443.81,435.0,435,223.92377,3.96,1.96,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
10000,407,100,406.0,164.9,130.0,69.18503,89.0,254,2.54,164.9,100,436.62,435.0,435,115.30843,3.99,1.99,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
11000,357,100,356.0,163.81,160.0,50.752674,60.0,260,2.6,163.81,100,466.88,435.0,435,287.2277,3.99,1.99,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
12000,468,100,467.0,162.6,141.0,68.90731,81.0,245,2.45,162.6,100,478.38,435.0,435,316.6259,4.0,2.0,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
13000,609,100,608.0,169.16,145.0,78.593216,84.0,285,2.85,169.16,100,487.28,435.0,435,338.06918,4.0,2.0,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
14000,383,100,382.0,148.69,130.0,55.237797,58.0,196,1.96,148.69,100,487.74,435.0,435,359.00592,3.98,1.98,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
15000,371,100,370.0,149.64,132.0,48.593525,60.0,197,1.97,149.64,100,437.97,435.0,435,274.26575,3.96,1.96,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
16000,420,100,419.0,155.31,130.0,63.828007,83.0,220,2.2,155.31,100,460.74,435.0,435,293.15497,3.97,1.97,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
17000,720,100,719.0,189.9,154.0,112.31602,103.0,366,3.66,189.9,100,443.92,435.0,435,170.59317,3.98,1.98,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
18000,766,100,765.0,200.62,160.0,119.18385,118.0,389,3.89,200.62,100,457.87,435.0,435,231.33215,3.99,1.99,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
19000,485,100,484.0,178.66,160.0,85.8196,78.0,314,3.14,178.66,100,464.84,435.0,435,267.74246,4.0,2.0,0.1,0.2,,Roulette,,1,1770989740-1,fdbbc8e41eb20ae5,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
