generation,steps_per_gen,population_size,fitness_best,fitness_mean,fitness_median,fitness_std,fitness_iqr,food_eaten_total,food_eaten_mean,survival_steps_mean,reproductions_total,params_mean,params_median,params_best,params_std,layers_mean,hidden_mean,mutation_rate,mutation_sigma,crossover_rate,selection_mode,tournament_k,seed,run_id,config_hash,git_commit
0,149,100,148.0,109.22,100.0,14.081607,22.0,55,0.55,109.22,100,76.0,76.0,76,0.0,3.0,1.0,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
1000,279,100,278.0,138.41,130.0,41.023674,60.0,160,1.6,138.41,100,161.15,103.0,103,210.88913,3.08,1.08,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
2000,311,100,310.0,134.47,130.0,39.871166,57.0,144,1.44,134.47,100,114.41,103.0,103,81.75121,3.03,1.03,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
3000,281,100,280.0,140.27,130.0,41.15552,47.0,168,1.68,140.27,100,122.99,103.0,103,119.145134,3.03,1.03,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
4000,314,100,313.0,143.12,130.0,48.649002,60.0,187,1.87,143.12,100,120.43,103.0,103,122.91177,3.02,1.02,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
5000,365,100,364.0,143.97,130.0,48.970074,60.0,186,1.86,143.97,100,121.15,103.0,103,100.698135,3.04,1.04,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
6000,371,100,370.0,136.97,129.0,48.86296,60.0,158,1.58,136.97,100,126.48,103.0,103,103.68656,3.06,1.06,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
7000,377,100,376.0,138.24,130.0,47.51865,60.0,164,1.64,138.24,100,133.61,103.0,103,148.45651,3.05,1.05,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
8000,411,100,410.0,163.9,144.5,69.371544,88.0,260,2.6,163.9,100,111.82,103.0,103,89.83773,3.01,1.01,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
9000,376,100,375.0,151.61,130.0,57.468052,63.0,214,2.14,151.61,100,140.75,103.0,103,131.60818,3.09,1.09,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
10000,701,100,700.0,170.24,143.0,97.666306,78.0,280,2.8,170.24,100,137.94,103.0,103,152.40828,3.08,1.08,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
11000,488,100,487.0,183.31,168.0,71.05755,93.0,379,3.79,183.31,100,137.06,103.0,103,136.66145,3.07,1.07,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
12000,591,100,590.0,178.37,153.5,85.9113,94.0,331,3.31,178.37,100,115.4,103.0,103,80.98451,3.04,1.04,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
13000,1000,100,1074.0,202.02,159.0,146.63402,113.0,433,4.33,201.28,100,126.21,103.0,103,128.20251,3.04,1.04,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
14000,561,100,560.0,204.46,160.0,110.75977,141.0,403,4.03,204.46,100,121.07,103.0,103,99.033905,3.05,1.05,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
15000,966,100,965.0,284.34,185.0,206.40459,222.0,698,6.98,284.34,100,113.97,103.0,103,96.146706,3.02,1.02,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
16000,708,100,707.0,203.81,176.5,114.7272,114.0,408,4.08,203.81,100,135.31,103.0,103,146.99472,3.06,1.06,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
17000,1000,100,1056.0,211.43,160.0,156.30493,151.0,438,4.38,210.87,100,149.75,103.0,103,177.93283,3.07,1.07,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
18000,1000,100,1091.0,354.29,297.5,225.34691,334.0,1065,10.65,352.74,100,145.63,103.0,103,175.05594,3.09,1.09,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
19000,701,100,700.0,210.08,160.0,131.76498,129.0,413,4.13,210.08,100,115.3,103.0,103,98.84129,3.03,1.03,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
20000,1000,100,1082.0,305.01,206.5,240.49815,265.0,797,7.97,302.9,100,119.16,103.0,103,92.077576,3.04,1.04,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
21000,1000,100,1059.0,277.0,190.0,184.06787,259.0,655,6.55,276.41,100,132.6,103.0,103,148.0018,3.04,1.04,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
22000,1000,100,1056.0,321.68,235.0,236.35434,359.0,824,8.24,321.12,100,131.04,103.0,103,133.58969,3.05,1.05,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
23000,1000,100,1061.0,296.78,182.5,245.25545,337.0,732,7.32,295.84,100,116.99,103.0,103,80.73959,3.04,1.04,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
24000,1000,100,1086.0,317.13,199.0,261.1281,306.0,917,9.17,315.15,100,142.98,103.0,103,163.91142,3.06,1.06,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
25000,1000,100,1073.0,330.04,247.5,231.7794,341.0,955,9.55,328.61,100,125.52,103.0,103,129.81345,3.03,1.03,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
26000,1000,100,1031.0,328.17,252.0,234.65735,227.0,848,8.48,327.4,100,125.39,103.0,103,100.84383,3.08,1.08,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
27000,1000,100,1082.0,283.66,210.5,221.16934,224.0,699,6.99,282.04,100,160.48,103.0,103,197.61969,3.09,1.09,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
28000,1000,100,1079.0,274.33,202.5,198.39973,236.0,729,7.29,273.54,100,125.73,103.0,103,135.16699,3.06,1.06,0.1,0.2,,Roulette,,42,1770935521-42,5ba4e62c7761a17f,2cec35afc45bee3502f34d4549a7cbf6fbae8ba6
